name,county,type,start,end,latitude,longitude
New Ashford,Berkshire,town,1835,,42.6040688,-73.2424088
Dover,Norfolk,town,1836,,42.2442818,-71.280098
Erving,Franklin,town,1838,,42.5996513,-72.3986435
Georgetown,Essex,town,1838,,42.7230301,-70.9928513
Rockport,Essex,town,1840,,42.6567688,-70.6188965
Somerville,Middlesex,town,1842,1872,42.3867493,-71.0984497
Blackstone,Worcester,town,1845,,42.0184517,-71.5329971
Ashland,Middlesex,town,1846,,42.2612991,-71.4657898
Roxbury,Suffolk,town,1846,1868,42.3287315,-71.0841064
Revere,Suffolk,town,1846,1914,42.4080696,-71.013588
Monterey,Berkshire,town,1847,,42.1794395,-73.2136078
Charlestown,Suffolk,town,1847,1873,42.3716888,-71.062439
Lawrence,Essex,town,1847,1853,42.7103996,-71.1607971
West Brookfield,Worcester,town,1848,,42.2348785,-72.1421432
Chicopee,Hampden,town,1848,1890,42.1481895,-72.6069717
Norwell,Plymouth,town,1849,,42.1619797,-70.8032227
Clinton,Worcester,town,1850,,42.4168892,-71.6823807
Groveland,Essex,town,1850,,42.7670403,-71.0256577
Winchester,Middlesex,town,1850,,42.4531403,-71.134079
Holyoke,Hampden,town,1850,1873,42.2069588,-72.6074295
Melrose,Middlesex,town,1850,1899,42.4571686,-71.0640488
West Roxbury,Suffolk,town,1851,1874,42.2834511,-71.1570816
Marion,Plymouth,town,1852,,41.7030907,-70.7626266
Swampscott,Essex,town,1852,,42.4697304,-70.9200287
Winthrop,Suffolk,town,1852,,42.3816299,-70.982193
Lakeville,Plymouth,town,1853,,41.8457298,-70.9488297
Nahant,Essex,town,1853,,42.4242096,-70.9144974
North Reading,Middlesex,town,1853,,42.5745506,-71.0788803
Agawam,Hampden,town,1855,,42.089381,-72.627104
North Andover,Essex,town,1855,,42.7030907,-71.1312408
Mattapoisett,Plymouth,town,1857,,41.6591187,-70.8167725
Belmont,Middlesex,town,1859,,42.3970604,-71.1783371
Acushnet,Bristol,town,1860,,41.6807785,-70.9093781
Gosnold,Dukes,town,1864,,41.4218712,-70.9290771
Hudson,Middlesex,town,1866,,42.3913689,-71.564621
Hyde Park,Suffolk,town,1868,1912,42.2564316,-71.1239471
Peabody,Essex,town,1868,1916,42.5263596,-70.9285126
Aquinnah,Dukes,town,1870,,41.3434792,-70.8152084
Mashpee,Barnstable,town,1870,,41.6182213,-70.4909134
Norfolk,Norfolk,town,1870,,42.1194115,-71.3308334
Everett,Middlesex,town,1870,1892,42.4081688,-71.0544968
Ayer,Middlesex,town,1871,,42.5594406,-71.5863876
Maynard,Middlesex,town,1871,,42.4333801,-71.4516983
Holbrook,Norfolk,town,1872,,42.154789,-71.0081635
Norwood,Norfolk,town,1872,,42.1958313,-71.1997833
Rockland,Plymouth,town,1874,,42.1279182,-70.9136124
Whitman,Plymouth,town,1875,,42.0808411,-70.9352875
Merrimac,Essex,town,1876,,42.8331718,-71.0019379
Hampden,Hampden,town,1878,,42.0639801,-72.4135818
North Adams,Berkshire,town,1878,1895,42.6998482,-73.1149368
Oak Bluffs,Dukes,town,1880,,41.4578094,-70.5562515
Wellesley,Norfolk,town,1881,,42.2968903,-71.2919769
Bourne,Barnstable,town,1884,,41.7426414,-70.5882874
Millis,Norfolk,town,1885,,42.1673393,-71.3575134
Hopedale,Worcester,town,1886,,42.1261101,-71.5372772
North Attleborough,Bristol,town,1887,,41.9807205,-71.332962
Avon,Norfolk,town,1888,,42.1297913,-71.0391998
West Tisbury,Dukes,town,1892,,41.3813896,-70.67453
East Longmeadow,Hampden,town,1894,,42.0483208,-72.5208969
Westwood,Norfolk,town,1897,,42.2209702,-71.2036133
Plainville,Norfolk,town,1905,,42.0042,-71.3348236
Millville,Worcester,town,1916,,42.0271111,-71.580719
East Brookfield,Worcester,town,1920,,42.2254105,-72.0466537
